precinct,registered_voters,ballots_cast,turnout
1,659,183,27.77
2,471,108,22.93
3,653,177,27.11
4,507,91,17.95
5,811,225,27.74
6,506,97,19.17
7,866,178,20.55
8,691,236,34.15
9,776,285,36.73
10,660,165,25.00
11,941,254,26.99
12,642,123,19.16
13,1000,251,25.10
14,412,171,41.50
15,835,148,17.72
16,690,261,37.83
17,666,135,20.27
18,663,174,26.24
19,796,227,28.52
20,635,126,19.84
21,742,163,21.97
22,744,300,40.32
23,831,254,30.57
24,670,215,32.09
25,717,193,26.92
26,602,242,40.20
27,523,145,27.72
28,560,170,30.36
29,883,298,33.75
30,427,114,26.70
31,832,223,26.80
32,858,228,26.57
33,579,136,23.49
34,675,274,40.59
35,914,141,15.43
36,379,81,21.37
37,303,80,26.40
38,380,92,24.21
39,163,37,22.70
